Time,V_D,V_G_Target,I_D,I_G,Light_State,Servo_State
93.53780961036682,1.0,0.0,-3.8147e-11,-5.61487e-07,1,0
94.07752227783203,1.0,0.0,-5.00679e-11,-6.38706e-07,1,0
94.6170859336853,1.0,0.0,-4.64916e-11,-5.13298e-07,1,0
95.15673208236694,1.0,0.0,-3.69549e-11,-4.56579e-07,1,0
95.6967179775238,1.0,0.0,-3.93391e-11,-5.95466e-07,1,0
96.23836636543274,1.0,1.0,7.98368e-08,-6.61081e-07,1,0
96.7805495262146,1.0,1.0,7.87985e-08,-5.48835e-07,1,0
97.32211947441101,1.0,1.0,7.66551e-08,-6.31612e-07,1,1
97.863849401474,1.0,1.0,9.29737e-08,-5.46967e-07,1,1
98.40536165237427,1.0,1.0,9.65977e-08,-4.7041e-07,1,1
98.94702672958374,1.0,1.0,9.9777e-08,-6.6847e-07,1,1
99.48871064186096,1.0,1.0,1.04371e-07,-7.37408e-07,1,1
100.03025126457214,1.0,1.0,1.05569e-07,-5.25619e-07,1,1
100.57190418243408,1.0,1.0,1.05165e-07,-5.45969e-07,1,0
101.11351323127747,1.0,1.0,9.90975e-08,-5.60952e-07,1,0
101.6552426815033,1.0,1.0,9.58896e-08,-5.9068e-07,1,0
102.19679832458496,1.0,1.0,9.46772e-08,-7.12368e-07,1,0
102.73830938339233,1.0,1.0,9.32157e-08,-7.60563e-07,1,0
103.28004312515259,1.0,1.0,8.93688e-08,-5.72815e-07,1,0
103.82168221473694,1.0,1.0,8.65459e-08,-6.11084e-07,1,0
104.36325144767761,1.0,1.0,8.618e-08,-6.08974e-07,1,0
104.90489625930786,1.0,1.0,8.65376e-08,-5.4988e-07,1,0
105.44691681861877,1.0,1.0,8.3375e-08,-7.29494e-07,1,0
105.9885983467102,1.0,1.0,8.28266e-08,-7.0596e-07,1,0
106.53019952774048,1.0,1.0,8.09073e-08,-5.39502e-07,1,0
107.0697591304779,1.0,0.0,-1.78814e-11,-5.02838e-07,1,0
107.60944724082947,1.0,0.0,-1.3113e-11,-6.47502e-07,1,0
108.14896273612976,1.0,0.0,-4.76837e-12,-6.7706e-07,1,0
108.68852972984314,1.0,0.0,1.19209e-12,-6.80823e-07,1,0
109.22808623313904,1.0,0.0,-1.19209e-11,-7.84267e-07,1,0
109.76764225959778,1.0,0.0,-2.98023e-11,-6.67266e-07,1,0
110.30721068382263,1.0,0.0,-2.74181e-11,-6.08893e-07,1,0
110.84675765037537,1.0,0.0,-2.14577e-11,-6.91548e-07,1,0
111.3864414691925,1.0,0.0,-2.14577e-11,-6.66265e-07,1,0
111.92609333992004,1.0,0.0,-2.02656e-11,-8.10092e-07,1,0
112.46788454055786,1.0,1.0,7.84385e-08,-7.22916e-07,1,0
113.00943970680237,1.0,1.0,7.64966e-08,-8.1016e-07,1,0
113.55098676681519,1.0,1.0,7.64918e-08,-6.60302e-07,1,1
114.09254169464111,1.0,1.0,9.31191e-08,-5.31297e-07,1,1
114.63407039642334,1.0,1.0,9.69553e-08,-6.99122e-07,1,1
115.17564678192139,1.0,1.0,9.96256e-08,-6.47987e-07,1,1
115.71715807914734,1.0,1.0,1.01058e-07,-7.44717e-07,1,1
116.25870847702026,1.0,1.0,1.03081e-07,-6.5674e-07,1,1
116.80028748512268,1.0,1.0,1.05109e-07,-6.76445e-07,1,0
117.34181475639343,1.0,1.0,9.97484e-08,-5.68317e-07,1,0
117.88336753845215,1.0,1.0,9.45473e-08,-7.01577e-07,1,0
